,seed,hash,equiv_class
165,365,-10.93888226744345,1
166,366,-18.72963544440576,3
167,367,-17.75148169456837,3
168,368,-17.906392398425567,3
169,369,-10.771104745700178,1
170,370,-18.43098281884305,3
171,371,-24.90262098167419,2
172,372,-11.06997575631971,1
173,373,-25.011065979715287,2
174,374,-18.512901179445663,3
175,375,-31.96605681030079,0
176,376,-32.46318621810687,0
177,377,-32.32688140291752,0
178,378,-18.201154896205093,3
179,379,-32.65774031713602,0
180,380,-10.907691609713597,1
181,381,-10.84969295691175,1
182,382,-11.029220214477224,1
183,383,-18.96112978272482,3
184,384,-17.553803420369228,3
185,385,-10.915149387379754,1
186,386,-32.256758603836936,0
187,387,-32.22784008020564,0
188,388,-18.639186611773262,3
189,389,-19.14788513899698,3
190,390,-32.30003248578133,0
191,391,-17.783329634869567,3
192,392,-18.429484389374014,3
193,393,-10.76240589793675,1
194,394,-24.532623645237152,2
195,395,-25.281668644088395,2
196,396,-25.4856764146299,2
197,397,-18.02085617060076,3
198,398,-11.05379760977929,1
199,399,-32.52060405638636,0
200,400,-18.083536233699025,3
201,401,-10.78787700876962,1
202,402,-10.684129074639877,1
203,403,-24.0856173890207,2
204,404,-24.665411003639573,2
205,405,-10.788494104159096,1
206,406,-17.763445411611716,3
207,407,-18.093348783485347,3
208,408,-17.469618548331855,3
209,409,-19.084962259100507,3
210,410,-10.708460694228787,1
211,411,-18.051245018249084,3
212,412,-32.24444220105573,0
213,413,-18.193138352972078,3
214,414,-19.152878964841356,3
215,415,-18.32162170596155,3
216,416,-32.299346771010505,0
217,417,-18.311862506206698,3
218,418,-24.83492548164299,2
219,419,-18.57222512537243,3
220,420,-24.58055127834955,2
221,421,-18.305409480076296,3
222,422,-32.48464380081252,0
223,423,-10.90861395565874,1
224,424,-25.28834510402093,2
225,425,-18.541556926089903,3
226,426,-24.431479526296478,2
227,427,-10.69858529704421,1
228,428,-24.534687294731704,2
229,429,-32.02516196430082,0
230,430,-18.219443640141034,3
231,431,-18.672894821654104,3
232,432,-18.23324677863239,3
233,433,-17.68009320265592,3
234,434,-18.498370735741652,3
235,435,-18.385395407273414,3
236,436,-31.996996160432577,0
237,437,-32.43620839348648,0
238,438,-10.783174060803207,1
239,439,-10.809820690003825,1
240,440,-19.052623342679215,3
241,441,-24.661166663643034,2
242,442,-10.977564295884006,1
243,443,-24.64531213522466,2
244,444,-18.558840349542088,3
245,445,-10.888094691694024,1
246,446,-32.132792429922375,0
247,447,-17.975913051174956,3
248,448,-18.375502288506496,3
249,449,-18.65639442186028,3
250,450,-18.526161114228522,3
251,451,-17.754376031947203,3
252,452,-10.9734778280745,1
253,453,-18.35760793064909,3
254,454,-18.97052875286842,3
255,455,-24.8809494265681,2
256,456,-18.340437975141008,3
257,457,-18.327971693824054,3
258,458,-10.979041734597896,1
259,459,-24.926638364662765,2
260,460,-18.18956630205355,3
261,461,-24.590419863960197,2
262,462,-10.829811636909065,1
263,463,-18.317238922220433,3
264,464,-17.806029291040044,3
265,465,-10.8958939897452,1
266,466,-19.294390872874075,3
267,467,-17.80983871138904,3
268,468,-18.044703094464232,3
269,469,-11.038803090197533,1
270,470,-18.9370063709323,3
271,471,-24.899937923725105,2
272,472,-11.080199149537918,1
273,473,-24.938763518651598,2
274,474,-18.529448009864957,3
275,475,-31.939485594710245,0
276,476,-32.348179930814865,0
277,477,-32.19252718020246,0
278,478,-18.42120922328369,3
279,479,-32.37989025449865,0
280,480,-10.89922379267319,1
281,481,-10.972415316128593,1
282,482,-10.986040826437495,1
283,483,-18.890796129422377,3
284,484,-18.395874433106343,3
285,485,-17.960245875417122,3
286,486,-25.114880052246683,2
287,487,-32.09470330924503,0
288,488,-10.820454013276153,1
289,489,-24.706016971413188,2
290,490,-24.778261526944505,2
291,491,-31.537389082780066,0
292,492,-17.945624521713956,3
293,493,-11.030903967269804,1
294,494,-18.191242461259748,3
295,495,-25.464844518594433,2
296,496,-24.62893359750973,2
297,497,-10.89443318544977,1
298,498,-18.92168774389944,3
299,499,-10.837739344713686,1
300,500,-24.50676349337771,2
301,501,-19.199995590182326,3
302,502,-11.085358515594658,1
303,503,-11.09432326029708,1
304,504,-18.84178701945079,3
305,505,-32.26338975242272,0
306,506,-11.030693061860788,1
307,507,-17.990580978256613,3
308,508,-18.357788849308438,3
309,509,-10.971024832792379,1
310,510,-17.90940848834768,3
311,511,-17.74862075817657,3
312,512,-18.5573802712902,3
313,513,-18.197192023805925,3
314,514,-19.386881645020104,3
315,515,-18.52479054794065,3
316,516,-32.37826727030556,0
317,517,-18.49270876069186,3
318,518,-18.523119377014154,3
319,519,-24.928514051347157,2
